img	comment	related text	question	answer		
		Magnificently arrayed horsemen, representing the Soldiers of Christ, are followed by the Just Judges	Who does magnificently arrayed horsemen represent?	the Soldiers of Christ		
		Magnificently arrayed horsemen, representing the Soldiers of Christ, are followed by the Just Judges	Who are magnificently arrayed horsemen followed by?	by the Just Judges		
30993-christ_c.jpg	This canvas counts among the artists's  earliest works, realized before he had completely mastered the technique of preparing the support with red ocher and oil. Too much of the latter undermined the adhesiveness of the paint surface, which has flaked off and exposed the ocher ground, now turned a brownish colour. Based on a composition by Rubens, the work evinces stunning virtuosity in the handling of the three nude bodies, their torsioned attitudes the fruit of long and close anatomical study					
		Based on a composition by Rubens, the work evinces stunning virtuosity in the handling of the three nude bodies, their torsioned attitudes the fruit of long and close anatomical study	What are now's torsioned attitudes the fruit of long and close anatomical study?	the three nude bodies		
		Too much of the latter undermined the adhesiveness of the paint surface, which has flaked off and exposed the ocher ground, now turned a brownish color.	What has the paint surface exposed?	the ocher ground		
		Based on a composition by Rubens, the work evinces stunning virtuosity in the handling of the three nude bodies, their torsioned attitudes the fruit of long and close anatomical study	How many nude bodies are now's torsioned attitudes the fruit of long and close anatomical study?	the three nude bodies		
		Based on a composition by Rubens, the work evinces stunning virtuosity in the handling of the three nude bodies, their torsioned attitudes the fruit of long and close anatomical study	Who is the work based on a composition by?	by Rubens		
		Based on a composition by Rubens, the work evinces stunning virtuosity in the handling of the three nude bodies, their torsioned attitudes the fruit of long and close anatomical study	What does the work evince?	stunning virtuosity in the handling of the three nude bodies		
		Too much of the latter undermined the adhesiveness of the paint surface, which has flaked off and exposed the ocher ground, now turned a brownish color.	What has exposed the ocher ground?	the paint surface		
		Too much of the latter undermined the adhesiveness of the paint surface, which has flaked off and exposed the ocher ground, now turned a brownish color.	What did now turn?	a brownish color		
		This canvas counts among the artists's earliest works, realized before he had completely mastered the technique of preparing the support with red ocher and oil.	Who had completely mastered the technique of preparing the support with red ocher and oil?	he		
		Based on a composition by Rubens, the work evinces stunning virtuosity in the handling of the three nude bodies, their torsioned attitudes the fruit of long and close anatomical study	What evinces stunning virtuosity in the handling of the three nude bodies?	the work		
		Based on a composition by Rubens, the work evinces stunning virtuosity in the handling of the three nude bodies, their torsioned attitudes the fruit of long and close anatomical study	What is the work based on by Rubens?	on a composition		
		Based on a composition by Rubens, the work evinces stunning virtuosity in the handling of the three nude bodies, their torsioned attitudes the fruit of long and close anatomical study	What are the three nude bodies?	now's torsioned attitudes the fruit of long and close anatomical study		
		Too much of the latter undermined the adhesiveness of the paint surface, which has flaked off and exposed the ocher ground, now turned a brownish color.	What has flaked off?	the paint surface		
		Too much of the latter undermined the adhesiveness of the paint surface, which has flaked off and exposed the ocher ground, now turned a brownish color.	What turned a brownish color?	now		
